"Date","No.","Description","Debit","Credit"
"10/31/2018","","POS Withdrawal - KEY FOOD 169 72-80 WYCKOFF AVE      BROOKLYN     NYUS - Card Ending In 8958","-36.99",""
"10/31/2018","","External Withdrawal - PAYPAL INSTANT TRANSFER - INST XFER","-21.99",""
"10/31/2018","","POS Withdrawal - ALYAMANI GROCERY 114 WYCKOFF AVE        BROOKLYN     NYUS - Card Ending In 8958","-7","","Arcology:Expenses:Supplies"
"10/30/2018","","POS Withdrawal - DALAL 99 CENTS STORE 116 WYCKOFF AVE        BROOKLYN     NYU - Card Ending In 8958","-66.93",""
"10/30/2018","","External Deposit - AIRBNB PAYMENTS  - 6Q2DTFMSDJ  RMR*IK*G-VFK7LBZQYFDL5\","","116.40"
"10/30/2018","","External Deposit - VENMO  - CASHOUT","","543.50"
"10/29/2018","","External Deposit - AMAZON.CO1144410 EDI - EDI PYMNTS  OFA000125937932","","0.35"
"10/26/2018","","POS Withdrawal - 29313338 FOOD BAZA 17-59 RIDGEW BROOKLYN     NYUS - Card Ending In 8958","-34.50",""
"10/26/2018","","POS Withdrawal - 1410339 DEALS     300 WYCKOFF  BROOKLYN     NYUS - Card Ending In 8958","-4.36","","Arcology:Expenses:Supplies"
"10/24/2018","","POS Withdrawal - APL*APPLE ONLINE STORE One Apple Park Way     800-676-2775 C - Card Ending In 8958","-304.80","","Arcology:Expenses:Appliances","August Smartlock"
"10/24/2018","","External Deposit - AIRBNB PAYMENTS  - AANHQQUPES  RMR*IK*G-RW3SLB73UUDG5\","","236.19"
"10/24/2018","","POS Withdrawal - Amazon.com*M81XS1N4 440 Terry Ave N        Amzn.com/billWAUS - Card Ending In 8958","-48.35",""
"10/23/2018","","POS Withdrawal - BESTBUYCOM805572177635 7601 PENN AVE          888-BESTBUY  M - Card Ending In 8958","-54.43","","Arcology:Expenses:Furnishings","Deadbolt"
"10/23/2018","","External Deposit - AIRBNB PAYMENTS  - CPK54Z6WA7  RMR*IK*G-SGGKF4HAIBPQN\","","324.95"
"10/23/2018","","External Deposit - AIRBNB PAYMENTS  - 3OMLY2EVTN  RMR*IK*G-GFYRSSBCLVLPN\","","373.30"
"10/22/2018","","External Withdrawal - PAYPAL INSTANT TRANSFER - INST XFER","-175",""
"10/19/2018","","External Deposit - AIRBNB PAYMENTS  - L5L6Z52K6A  RMR*IK*G-LC22XJBU2ZFUG\","","1.03"
"10/19/2018","","External Deposit - AIRBNB PAYMENTS  - K2CTV37DYI  RMR*IK*G-JURN4GXLKJMNA\","","1.32"
"10/19/2018","","External Deposit - AIRBNB PAYMENTS  - LEMKM6H35C  RMR*IK*G-WAGJBCWL3CMR2\","","1.33"
"10/19/2018","","External Deposit - AIRBNB PAYMENTS  - CYH3UI5W7A  RMR*IK*G-MMSKE2I665SMA\","","1.55"
"10/19/2018","","External Deposit - AIRBNB PAYMENTS  - CYH3UI5W7A  RMR*IK*G-E5FC2D5P5DV62\","","1.66"
"10/19/2018","","External Deposit - AIRBNB PAYMENTS  - CYH3UI5W7A  RMR*IK*G-EIMPCXOZVVPDI\","","2.57"
"10/19/2018","","External Deposit - AIRBNB PAYMENTS  - YEWJE66UT4  RMR*IK*G-BDGATDXFFLM7D\","","362.25"
"10/19/2018","","POS Withdrawal - 720000556508 FOOD BAZAAR 1580 GATES RIDGEWOOD    NYUS - Card Ending In 8958","-33.60",""
"10/18/2018","","POS Withdrawal - NEW DOLLAR DEAL INC. 348 KNICKERBOCKER AVENUBROOKLYN     NYU - Card Ending In 8958","-11.93",""
"10/18/2018","","POS Withdrawal - NEW DOLLAR DEAL INC. 348 KNICKERBOCKER AVENUBROOKLYN     NYU - Card Ending In 8958","-13.04",""
"10/18/2018","","POS Withdrawal - BT TASKRABBIT INC 222 W MERCHANDSE MRT PL8886618105   CAUS - Card Ending In 8958","-161.25","","Arcology:Expenses:Cleaning","Taskrabbit"
"10/18/2018","","External Deposit - AIRBNB PAYMENTS  - TNGSSOZUG7  RMR*IK*G-THQXB2TLX7LJR\","","596.55"
"10/17/2018","","External Withdrawal - PAYPAL INSTANT TRANSFER - INST XFER","-75","","Arcology:Expenses:Salary","Adriana salary"
"10/17/2018","","External Deposit - AIRBNB PAYMENTS  - AXGEJK4YEI  RMR*IK*G-EPZIH2WSPYP4J\","","30.31"
"10/16/2018","","External Deposit - AIRBNB PAYMENTS  - U45U73LWGB  RMR*IK*G-6XUKZQ4G4WSWL\","","328.83"
"10/16/2018","","External Deposit - AIRBNB PAYMENTS  - 4YFOMLEECC  RMR*IK*G-5EKMKO64GLVH4\","","837.84"
"10/15/2018","","POS Withdrawal - 203004 dalal 99  dalal 99 cen brooklyn     NYUS - Card Ending In 8958","-12.14",""
"10/15/2018","","External Withdrawal - CON ED OF NY  - INTELL CK","-231.36",""
"10/15/2018","","External Withdrawal - CON ED OF NY  - INTELL CK","-97.40",""
"10/15/2018","","External Deposit - VENMO  - CASHOUT","","3","Arcology:Income:Mealprep"
"10/12/2018","","External Deposit - AIRBNB PAYMENTS  - NBZ3GZGDRU  RMR*IK*G-SOWXYVEEXNEMN\","","392.85"
"10/12/2018","","POS Withdrawal - 720000556508 FOOD BAZAAR 1580 GATES RIDGEWOOD    NYUS - Card Ending In 8958","-52.31",""
"10/11/2018","","POS Withdrawal - ADAM 99 CENT PLUS INC 221 WYCKOFF AVE        BROOKLYN     NY - Card Ending In 8958","-17.41","","Arcology:Expenses:Supplies"
"10/11/2018","","POS Withdrawal - Amazon.com*MT52H37H 440 Terry Ave N        Amzn.com/billWAUS - Card Ending In 8958","-51.99",""
"10/10/2018","","POS Withdrawal - NNT LD DISCOUNT STO681242 207 WYCKOFF AVE        BROOKLYN    - Card Ending In 8958","-14.63",""
"10/10/2018","","ATM Withdrawal - MCU 374 STOCKHOLM ST.      BROOKLYN     NYUS - Card Ending In 8958","-50","","Arcology:Expenses:Laundry","quarters"
"10/10/2018","","External Deposit - AIRBNB PAYMENTS  - 5UMXI3CGKP  RMR*IK*G-EWXMW6ZIXNWAA\","","0.73"
"10/10/2018","","External Deposit - AIRBNB PAYMENTS  - DXJBDIODB5  RMR*IK*G-TLYCPJGF55T6X\","","169.75"
"10/10/2018","","External Deposit - AIRBNB PAYMENTS  - 23KZC2LXQX  RMR*IK*G-PSZWCR5BRGT2A\","","1261"
"10/9/2018","","External Deposit - VENMO  - CASHOUT","","3.50","Arcology:Income:Mealprep"
"10/9/2018","","External Deposit - VENMO  - CASHOUT","","7","Arcology:Income:Mealprep"
"10/9/2018","","External Deposit - VENMO  - CASHOUT","","1250",Arcology:Income:Rent"
"10/7/2018","","ATM Withdrawal - MCU 374 STOCKHOLM ST.      BROOKLYN     NYUS - Card Ending In 8958","-40",""
"10/6/2018","","ATM Withdrawal - MCU 374 STOCKHOLM ST.      BROOKLYN     NYUS - Card Ending In 8958","-270","","Arcology:Expenses:Salary","Adriana"
"10/5/2018","","POS Withdrawal - SIMPLEMOBILE*SERVICES 9700 NW 112 Ave        877-878-7908 FL - Card Ending In 8958","-23.28",""
"10/4/2018","","POS Withdrawal - 720000556508 FOOD BAZAAR 1580 GATES RIDGEWOOD    NYUS - Card Ending In 8958","-28.32",""
"10/3/2018","","POS Withdrawal - AMZN Mktp US*MT5XQ7BJ 440 Terry Ave N        Amzn.com/billWA - Card Ending In 8958","-83.70",""
"10/3/2018","99991832","Check","-4500",""
"10/3/2018","99993184","Check","-3000",""
"10/3/2018","99991902","Check","-2",""
"10/3/2018","99993248","Check","-2",""
"10/3/2018","","External Deposit - AIRBNB PAYMENTS  - DBIBJH4CFE  RMR*IK*G-HMJQGXN46HSAA\","","1712.34"
"10/2/2018","","POS Withdrawal - DALAL 99 CENTS STORE 116 WYCKOFF AVE        BROOKLYN     NYU - Card Ending In 8958","-8.46",""
